Chr	GeneID	GeneName	Start	Stop	CodingLength	log2FoldChange	Foldchange	pval	padj
chr12	ENSG00000273266	HOXC4	54447661	54449814	1666	-0.12	0.92	0.761779383	0.890564657
chr10	ENSG00000273262	RP11-18I14.11	104242796	104243316	521	0.148	1.108	0.576807645	0.779357401
chr3	ENSG00000273261	RP11-531F16.4	182639028	182639726	699	-1.637	0.322	0.000336307	0.003719018
chr14	ENSG00000273259	RP11-986E7.7	95058395	95090983	3067	-2.386	0.191	4.32E-09	1.20E-07
chr21	ENSG00000273254	RP1-100J12.1	30396576	30397211	636	0.388	1.309	0.270841142	0.516259543
chr22	ENSG00000273253	RP3-402G11.26	50637519	50638976	711	-0.118	0.921	0.69389299	0.855386118
chr4	ENSG00000273247	RP11-83A24.2	140333081	140375188	7954	0.144	1.105	0.651958418	0.830194854
chr7	ENSG00000273230	RP11-1246C19.1	1504133	1507158	3026	0.903	1.87	0.013464301	0.071256587
chr1	ENSG00000273221	RP5-1180E21.5	111727037	111727683	647	-0.61	0.655	0.043880053	0.162613784
chr5	ENSG00000273217	CTC-432M15.3	130761584	131132676	6393	-0.063	0.957	0.808188275	0.915790619
chr22	ENSG00000273212	AC000068.10	19444026	19444485	460	-0.083	0.944	0.735723842	0.878430708
chr22	ENSG00000273192	CITF22-1A6.3	50295876	50298224	2349	-0.086	0.942	0.726950561	0.873992281
chr19	ENSG00000273189	CTD-3148I10.15	49977843	49990894	1421	-0.239	0.847	0.283195993	0.529212953
chr7	ENSG00000273184	RP11-212P7.3	128095894	128133913	707	0.12	1.086	0.666858087	0.839439635
chr15	ENSG00000273173	SNURF	25200133	25223729	1689	-0.202	0.869	0.386228094	0.629020833
chr13	ENSG00000273167	RP11-307N16.6	24553839	24895169	4157	0.008	1.006	0.98044347	0.993558774
chr2	ENSG00000273155	MRPL30	99771461	99811761	669	-0.162	0.894	0.501473821	0.725341023
chr20	ENSG00000273154	RP4-583P15.15	62340216	62370456	3119	0.233	1.175	0.19959541	0.432144479
chr7	ENSG00000273151	RP11-449P15.2	919427	926184	6758	0.79	1.729	0.003954037	0.028587875
chr13	ENSG00000273149	RP11-290D2.6	45914174	45915318	588	-0.733	0.602	0.007260346	0.045013142
chr7	ENSG00000273142	RP11-458F8.4	66367844	66371284	3441	0.783	1.721	0.011289164	0.062458374
chr7	ENSG00000273138	GS1-293C5.1	95045420	95045774	355	0.03	1.021	0.92421064	0.967836438
chr22	ENSG00000273137	RP3-402G11.28	50646890	50647971	640	0.322	1.25	0.304896531	0.552151282
chr6	ENSG00000273132	RP11-350J20.12	150173598	150174328	312	-0.304	0.81	0.378017377	0.621359943
chr1	ENSG00000273131	RP6-42F4.1	120693320	120697146	3827	-0.059	0.96	0.858137198	0.938977344
chr7	ENSG00000273117	AC144652.1	155087628	155089251	1624	-0.129	0.915	0.744539254	0.883054454
chr19	ENSG00000273116	LLfos-48D6.1	2352574	2354800	626	0.572	1.486	0.118597522	0.311418391
chr1	ENSG00000273112	RP11-25K21.6	161482966	161574889	553	-8.29	0.003	1.35E-27	2.05E-25
chr2	ENSG00000273090	RP11-78I14.1	36740398	36740875	478	-0.298	0.813	0.402168461	0.643431847
chr1	ENSG00000273088	RP11-201K10.3	155141885	155159748	753	-0.077	0.948	0.688591048	0.852373892
chr12	ENSG00000273079	GRIN2B	13693165	14133053	27217	1.344	2.538	0.001784016	0.015183549
chr1	ENSG00000273071	RP11-337C18.10	146644765	146724314	573	0.096	1.068	0.729338224	0.875108592
chr9	ENSG00000273066	RP11-216L13.19	139693675	139704494	4335	0.476	1.391	0.060745798	0.201984548
chr12	ENSG00000273049	RP11-834C11.12	54379629	54428672	777	0.105	1.075	0.78612831	0.903598068
chr20	ENSG00000273047	RP4-583P15.14	62369623	62371751	586	-0.087	0.942	0.807213791	0.91520515
chr12	ENSG00000273046	RP11-834C11.14	54410894	54429145	1389	-0.168	0.89	0.690278223	0.853322863
chr2	ENSG00000273045	C2ORF15	99757948	99767950	2098	0.336	1.263	0.1899449	0.419066664
chr10	ENSG00000273038	RP11-479G22.8	33176189	33178239	2051	-0.591	0.664	0.103744764	0.285750091
chr3	ENSG00000273033	RP11-67L2.2	122605788	122611243	5456	-0.393	0.762	0.143930165	0.352679113
chr15	ENSG00000273025	CELF6	72559087	72612287	1902	0.553	1.467	0.043767617	0.162431305
chr17	ENSG00000273018	CTD-2303H24.2	18414535	18455019	7703	-0.015	0.99	0.959194147	0.984359544
chr12	ENSG00000273015	LINC00938	46119510	46121558	2049	-0.188	0.878	0.391168026	0.633759128
chr1	ENSG00000273010	RP11-96K19.5	111505924	111507271	1348	0.382	1.303	0.187193958	0.415059889
chr11	ENSG00000273003	RP11-399J13.3	64781654	64808042	2392	0.054	1.038	0.751636044	0.88549165
chr22	ENSG00000273000	KB-1572G7.2	23995047	24059534	3126	0.598	1.514	0.079501329	0.240968314
chr2	ENSG00000272994	RP11-332H14.2	105950484	105953932	3449	0.223	1.167	0.549878314	0.760929811
chr1	ENSG00000272993	RP11-196G18.24	149817383	149818053	671	-0.107	0.928	0.764390975	0.892004308
chr6	ENSG00000272980	RP11-517H2.6	167412893	167552629	5310	0.038	1.026	0.889486949	0.953000934
chr3	ENSG00000272970	RP11-329B9.4	184451863	184456737	701	0.642	1.56	0.09662582	0.273304787
chr7	ENSG00000272968	RBAK-RBAKDN	5023349	5112852	1049	0.088	1.063	0.765003775	0.892301171
chr21	ENSG00000272962	SLC5A3	35445870	35478561	11576	0.198	1.147	0.322266248	0.569139888
chr7	ENSG00000272949	RP11-514P8.8	102123791	102184211	3569	0.338	1.264	0.255582492	0.498895925
chr7	ENSG00000272941	RP11-134L10.1	134853155	134854299	1145	0.429	1.346	0.055583993	0.190343966
chr10	ENSG00000272933	RP11-47A8.5	104402549	104403897	1349	0.048	1.034	0.864154538	0.942266407
chr12	ENSG00000272921	RP11-500M8.7	4714110	4771809	818	-0.052	0.964	0.748424326	0.884153019
chr7	ENSG00000272918	CTB-152G17.6	104743285	104745930	2646	0.306	1.237	0.336632627	0.582486462
chr12	ENSG00000272917	RP11-705C15.5	9795468	9809666	615	-0.399	0.759	0.200075163	0.432610544
chr10	ENSG00000272916	RP11-574K11.31	75556272	75571409	5818	0.239	1.18	0.170973977	0.393421638
chr2	ENSG00000272913	RP11-440D17.3	96190857	96192450	1594	-0.086	0.942	0.743200259	0.882192793
chr3	ENSG00000272910	RP11-15L13.4	179301050	179301550	501	0.019	1.013	0.937027222	0.974057879
chr14	ENSG00000272909	CTD-2555O16.4	64907087	64908956	1870	0.55	1.464	0.044196253	0.163218807
chr1	ENSG00000272906	RP11-533E19.7	179850742	179851730	989	-0.308	0.807	0.344370662	0.589978302
chr20	ENSG00000272897	RP1-309K20.6	34220262	34262466	872	0.166	1.122	0.39773593	0.640363746
chr9	ENSG00000272896	RP11-216L13.17	139685831	139695047	735	-0.059	0.96	0.752382698	0.885702168
chr15	ENSG00000272888	AC013394.2	93425937	93441975	4439	-0.244	0.844	0.19483406	0.425884389
chr17	ENSG00000272884	RP11-104H15.10	7342825	7349285	5553	0.299	1.23	0.357024709	0.603475619
chr22	ENSG00000272872	LL22NC03-N14H11.1	16154073	16154766	694	1.083	2.118	0.001181472	0.010784907
chr5	ENSG00000272869	CTC-487M23.8	112196885	112228776	2174	-0.287	0.82	0.221725037	0.460620757
chr2	ENSG00000272851	RP11-801F7.1	208618596	208619159	564	-0.095	0.936	0.723368396	0.87159563
chr12	ENSG00000272849	RP11-347I19.8	122235417	122239878	572	1.34	2.532	0.000603639	0.006043781
chr3	ENSG00000272844	RP11-484K9.4	112709294	112710000	707	0.119	1.086	0.721200877	0.871038118
chr6	ENSG00000272841	RP3-428L16.2	161411350	161413374	2025	-1.028	0.49	0.004692217	0.032482634
chr7	ENSG00000272831	RP11-792A8.4	66204816	66205372	557	-0.079	0.947	0.796181999	0.908852548
chr12	ENSG00000272822	RP11-302B13.5	49297286	49351148	939	0.308	1.238	0.095548579	0.271443235
chr22	ENSG00000272821	CTA-384D8.36	50962355	50963209	855	-0.361	0.779	0.170332362	0.392396908
chr15	ENSG00000272808	RP11-66B24.7	101390036	101404501	3907	0.268	1.204	0.419366041	0.658398161
chr1	ENSG00000272796	RP1-74M1.3	23243175	23247993	4819	0.726	1.654	0.076822426	0.235346347
chr17	ENSG00000272780	RP11-822E23.8	21435738	21477781	2994	0.294	1.226	0.308889158	0.555851134
chr22	ENSG00000272779	LL22NC03-80A10.6	22657589	22664766	1121	-0.132	0.913	0.609194023	0.801800941
chr5	ENSG00000272772	CTD-2410N18.5	133502861	133561762	483	-0.116	0.923	0.505871797	0.728656262
chr17	ENSG00000272770	RP11-74E22.5	2586599	2588382	626	-0.076	0.949	0.80173351	0.912473642
chr2	ENSG00000272769	RP11-725P16.2	133103189	133104870	1682	-0.381	0.768	0.386911196	0.629510262
chr7	ENSG00000272768	RP4-673M15.1	44924552	44925992	1441	0.012	1.009	0.966995777	0.987972063
chr3	ENSG00000272762	RP11-155D18.14	51994317	52008032	539	0.508	1.422	0.063033168	0.20706459
chr3	ENSG00000272761	RP11-572C15.6	112315641	112320749	5109	-3.161	0.112	1.26E-10	4.25E-09
chr3	ENSG00000272758	RP11-299J3.8	122135054	122162027	2891	-0.015	0.99	0.935887789	0.973676044
chr7	ENSG00000272752	STAG3L5P-PVRIG2P-PILRB	99933727	99965454	3816	0.844	1.795	0.005052525	0.034186796
chr1	ENSG00000272750	RP11-378J18.8	222832209	222834854	2646	-0.013	0.991	0.960137054	0.984654918
chr5	ENSG00000272742	CTB-43P18.1	138700366	138705406	664	-0.448	0.733	0.014318969	0.07436028
chr3	ENSG00000272741	RP11-447L10.1	195975101	196045093	708	0.169	1.125	0.492153079	0.717763187
chr10	ENSG00000272734	ADIRF-AS1	88725102	88731068	5748	0.075	1.053	0.773233171	0.896600829
chr2	ENSG00000272711	RP11-259N19.1	75059782	75061114	1333	0.447	1.364	0.155489162	0.370442478
chr3	ENSG00000272700	RP11-245C23.3	178954479	178955163	685	-1.038	0.487	0.006069099	0.039320947
chr13	ENSG00000272695	GAS6-AS2	114567141	114569806	1952	-1.485	0.357	0.005258424	0.035210111
chr10	ENSG00000272692	RP11-399K21.14	77168915	77171600	1890	0.696	1.621	0.051435	0.180999186
chr18	ENSG00000272688	RP13-270P17.3	3246399	3247084	686	0.016	1.011	0.961089929	0.985351302
chr7	ENSG00000272686	RP11-390E23.6	123389122	123391220	2099	-0.329	0.796	0.258087126	0.501622919
chr9	ENSG00000272679	RP11-216L13.18	139694818	139723918	561	0.739	1.669	0.001847158	0.015617513
chr3	ENSG00000272678	RP11-797D24.4	123002440	123002830	391	0.269	1.205	0.423919724	0.661989176
chr1	ENSG00000272668	RP11-190A12.8	159836744	159837475	732	0.039	1.027	0.924013438	0.967801645
chr2	ENSG00000272667	RP11-395A13.2	128644130	128644759	630	0.066	1.047	0.824924375	0.922955
chr7	ENSG00000272661	RP4-548D19.3	150937485	150938058	574	-0.308	0.808	0.292794076	0.538704576
chr14	ENSG00000272658	LTB4R2	24778161	24781252	3092	0.755	1.688	0.017757481	0.086513024
chr21	ENSG00000272657	AP000320.7	35445892	35732332	641	0.179	1.132	0.397817217	0.64043731
chr7	ENSG00000272655	POLR2J4	44053161	44058769	1424	0.211	1.158	0.476511581	0.704969246
chr7	ENSG00000272647	GS1-259H13.10	99156291	99205433	1084	0.412	1.331	0.139500137	0.346621525
chr1	ENSG00000272645	RP11-504P24.8	224139096	224141141	2046	0.927	1.901	0.002553249	0.020335569
chr7	ENSG00000272638	GS1-114I9.1	30464288	30465028	741	-0.699	0.616	0.063799945	0.208722716
chr17	ENSG00000272636	DOC2B	5810	31427	1480	0.659	1.579	0.158560512	0.374873016
chr19	ENSG00000272635	LLNLF-65H9.1	28284396	28475892	924	0.347	1.272	0.25706257	0.500811566
chr10	ENSG00000272631	RP11-359E3.4	88509511	88516055	6545	0.39	1.311	0.24494312	0.487885028
chr18	ENSG00000272625	RP11-737O24.5	2920964	2921683	720	0.098	1.07	0.769807995	0.894907638
chr4	ENSG00000272620	AFAP1-AS1	7755817	7780655	6795	0.046	1.033	0.904024691	0.958692665
chr16	ENSG00000272617	RP11-343C2.12	69362547	69368774	887	0.237	1.179	0.311446976	0.558011751
chr22	ENSG00000272600	AC007308.7	21243494	21245502	373	-0.329	0.796	0.290473613	0.536626064
chr10	ENSG00000272589	ZSWIM8-AS1	75556272	75561157	1460	0.227	1.17	0.375214424	0.619174349
chr1	ENSG00000272579	RP11-101E13.5	193059996	193060686	691	-1.04	0.486	0.007905362	0.047968091
chr22	ENSG00000272578	AP000347.2	24000281	24059543	7012	0.791	1.73	0.022099815	0.101227055
chr3	ENSG00000272565	RP11-485G4.2	141876369	141880820	4452	-0.058	0.961	0.858102576	0.938977344
chr6	ENSG00000272558	U91328.21	25984040	25999395	354	0.301	1.232	0.314555783	0.561791508
chr6	ENSG00000272540	XXbac-BPG252P9.9	30690882	30691654	773	0.419	1.337	0.045031435	0.165044935
chr20	ENSG00000272521	RP1-63M2.6	32244893	32245415	345	-0.011	0.993	0.971555242	0.989805338
chr5	ENSG00000272520	CTD-2044J15.2	6671219	6674499	3281	0.348	1.273	0.309944347	0.556816645
chr6	ENSG00000272514	C6ORF165	88117701	88174183	3613	-0.17	0.889	0.558544254	0.767392387
chr1	ENSG00000272512	RP11-54O7.17	931346	933431	2086	0.586	1.501	0.209243497	0.444633163
chr8	ENSG00000272502	RP11-713M15.2	121824459	121825599	1141	-0.16	0.895	0.724062065	0.87181667
chr6	ENSG00000272501	XXbac-BPG299F13.17	31162977	31165814	2838	-0.096	0.936	0.775936965	0.897937056
chr1	ENSG00000272478	RP1-317E23.7	26158404	26158625	222	-0.201	0.87	0.416701621	0.655644561
chr6	ENSG00000272476	RP1-191J18.66	108278617	108281190	2574	0.024	1.016	0.934359405	0.973007604
chr6	ENSG00000272462	U91328.19	25992890	26002003	4130	0.271	1.207	0.316012531	0.56338659
chr1	ENSG00000272455	RP4-758J18.13	1344476	1345998	1523	0.476	1.391	0.101822686	0.282094713
chr3	ENSG00000272452	RP11-391M1.4	40507957	40510078	2122	0.668	1.589	0.052071881	0.182430852
chr10	ENSG00000272447	RP11-182L21.6	81585658	81587358	1701	0.15	1.11	0.581199727	0.782947051
chr6	ENSG00000272442	RP11-444E17.6	44240931	44346694	3513	0.625	1.543	0.078805803	0.239627177
chr3	ENSG00000272434	RP13-131K19.6	49066749	49067139	391	0.192	1.142	0.456292991	0.689536661
chr15	ENSG00000272418	RP11-762H8.4	78573292	78574532	369	-0.159	0.896	0.748780906	0.884177937
chr4	ENSG00000272414	FAM47E-STBD1	77172874	77232282	3242	-0.091	0.939	0.69774207	0.857507489
chr3	ENSG00000272410	RP11-438J1.1	10291056	10327480	2977	0.451	1.367	0.017346577	0.084963443
chr8	ENSG00000272384	RP11-44N11.2	123792210	123793069	860	0.098	1.07	0.825003662	0.922986313
chr6	ENSG00000272379	RP1-257A7.5	13290250	13290722	473	-0.585	0.667	0.129030581	0.329807958
chr10	ENSG00000272373	ZNF33B	43069633	43134016	2810	0.112	1.081	0.710080514	0.864337231
chr12	ENSG00000272368	RP4-605O3.4	50505980	50559203	919	-0.107	0.929	0.719287065	0.870127192
chr5	ENSG00000272367	CTC-428H11.2	86672073	86672997	925	-0.319	0.802	0.253069127	0.496047471
chr6	ENSG00000272356	RP5-1112D6.8	111630406	111634720	4315	0.338	1.264	0.260917602	0.504737374
chr6	ENSG00000272345	RP1-30M3.5	24701135	24702021	887	-0.092	0.938	0.723183984	0.87159563
chr6	ENSG00000272341	RP1-151F17.2	16764577	16767114	2538	-0.308	0.807	0.34320607	0.588708516
chr5	ENSG00000272335	RP11-53O19.3	44826178	44828694	2517	-0.351	0.784	0.249591238	0.492719504
chr19	ENSG00000272333	KMT2B	36208921	36229779	8470	0.434	1.351	0.017624688	0.085935879
chr6	ENSG00000272325	NUDT3	34247456	34360451	9905	0.192	1.142	0.284846343	0.530834247
chr5	ENSG00000272324	CTD-2154B17.4	10761177	10770406	377	0.029	1.02	0.930298602	0.971103066
chr5	ENSG00000272323	CTD-2517O10.6	34837654	34839383	1565	0.023	1.016	0.939032965	0.974802905
chr6	ENSG00000272316	XXbac-BPGBPG55C20.2	58234838	58240189	5352	0.182	1.135	0.61684401	0.806969928
chr3	ENSG00000272305	RP11-894J14.5	53003135	53133469	1760	0.264	1.201	0.276430353	0.522120734
chr8	ENSG00000272293	RP11-91J19.3	400714	401343	630	-0.478	0.718	0.119100544	0.312506487
chr6	ENSG00000272288	RP11-140K17.3	34664094	34665247	771	0.104	1.075	0.688589677	0.852373892
chr6	ENSG00000272273	XXbac-BPG252P9.10	30710706	30711369	527	-0.665	0.631	0.01648341	0.081941663
chr6	ENSG00000272269	RP11-500C11.3	17706488	17707575	1088	0.267	1.203	0.45745385	0.690460136
chr8	ENSG00000272267	RP11-375N15.2	9412656	9414030	1375	-0.032	0.978	0.929805785	0.970972754
chr8	ENSG00000272256	RP11-489E7.4	29940274	29940983	710	-0.465	0.724	0.059968135	0.200435227
chr5	ENSG00000272234	CTD-2325A15.5	42806496	42807099	604	-1.334	0.397	0.000128508	0.001600077
chr12	ENSG00000272201	U47924.30	7087683	7089103	1421	0.162	1.119	0.50024162	0.724374022
chr17	ENSG00000272191	RP11-445F12.2	35297346	35300755	546	1.033	2.047	0.013614217	0.071853034
chr3	ENSG00000272182	RP11-802O23.3	58413982	58414542	561	0.036	1.025	0.880455467	0.948847736
chr12	ENSG00000272173	U47924.31	7052671	7053767	1097	-0.374	0.771	0.037856305	0.146917739
chr6	ENSG00000272170	RP11-387M24.5	43042069	43042477	409	0.347	1.272	0.28742021	0.534090228
chr6	ENSG00000272168	CASC15	21665003	22214734	11161	-1.418	0.374	0.004153598	0.029608375
chr6	ENSG00000272162	RP11-637O19.3	10748027	10930656	1589	-0.156	0.898	0.503669376	0.726880518
chr10	ENSG00000272160	U4	111629616	111629750	135	-0.154	0.899	0.600065586	0.795723764
chr1	ENSG00000272153	RP1-286D6.5	3701572	3702102	531	0.085	1.06	0.76762026	0.894002594
chr3	ENSG00000272149	RP11-627J17.1	33185596	33189213	305	-0.223	0.857	0.476575197	0.704969246
chr1	ENSG00000272145	NFYC-AS1	41156052	41157738	1687	0.231	1.174	0.444376917	0.680445063
chr1	ENSG00000272141	RP11-465B22.8	1104737	1105723	987	1.672	3.187	7.96E-05	0.00105667
chr6	ENSG00000272114	RP1-261G23.7	43738166	43738353	188	0.104	1.075	0.79533146	0.908603951
chr1	ENSG00000272106	RP11-345P4.9	1549138	1551175	2038	0.011	1.008	0.968317568	0.98859273
chr3	ENSG00000272104	XXcos-LUCA11.5	50388323	50405354	408	0.173	1.127	0.567280561	0.772456966
chr1	ENSG00000272100	RP11-155O18.6	52819159	52819549	391	0.272	1.207	0.402176199	0.643431847
chr19	ENSG00000272098	AC092299.8	197075	199431	2070	0.826	1.773	0.010491855	0.058916807
chr1	ENSG00000272091	RP4-758J24.5	54492356	54494172	1817	-0.414	0.751	0.24186839	0.484963719
chr5	ENSG00000272086	CTD-2186M15.3	32174577	32175378	802	0.191	1.142	0.563861168	0.770661663
chr1	ENSG00000272084	RP5-1126H10.2	19398604	19402005	3402	0.16	1.117	0.584509259	0.784754167
chr16	ENSG00000272079	LA16c-380H5.5	3056121	3057386	1266	0.905	1.872	0.029837834	0.124528488
chr1	ENSG00000272078	RP4-734G22.3	10699298	10714390	7923	0.602	1.518	0.063222274	0.207458537
chr5	ENSG00000272070	AC005618.6	140705777	140708924	3148	0.329	1.256	0.332435697	0.578841601
chr2	ENSG00000272056	RP11-503P10.1	27276486	27277144	659	0.437	1.354	0.115412204	0.306313082
chr2	ENSG00000272054	RP11-423P10.2	37436018	37439820	3803	-0.029	0.98	0.896804905	0.956328468
chr6	ENSG00000272047	GTF2H5	158589384	158620376	7481	-0.121	0.92	0.593729289	0.791428586
chr8	ENSG00000272037	KB-431C1.5	103268620	103270049	1430	0.235	1.177	0.409376828	0.648771946
chr1	ENSG00000272030	RP1-178F15.4	153603914	153606873	1054	0.301	1.232	0.179102589	0.404317915
chr6	ENSG00000272017	RP1-199J3.7	100015973	100016972	1000	-0.177	0.885	0.58639784	0.786526758
chr5	ENSG00000272016	RP11-215G15.5	10654332	10657928	3597	-0.01	0.993	0.975565525	0.99123343
chr6	ENSG00000272009	RP1-313I6.12	28046570	28048908	686	0.628	1.546	0.065134744	0.211356257
chr8	ENSG00000272005	RP11-91J19.4	424455	427966	3512	-0.45	0.732	0.235686037	0.478229748
chr1	ENSG00000272004	RP11-345P4.10	1590786	1594063	400	0.338	1.264	0.213866928	0.450645341
chr20	ENSG00000271984	RP3-337O18.9	44521333	44522058	569	-0.285	0.82	0.119413561	0.313145137
chr18	ENSG00000271982	SNORD58B	47018034	47018099	66	-0.384	0.766	0.219485122	0.457375066
chr5	ENSG00000271980	CTD-2256P15.4	10264709	10267258	2550	0.087	1.062	0.654240543	0.831473191
chr3	ENSG00000271976	RP11-884K10.7	53893021	53895603	2583	0.277	1.212	0.326956469	0.57353198
chr8	ENSG00000271975	RP11-383J24.6	125318430	125320617	2188	-0.356	0.781	0.314919558	0.562079648
chr6	ENSG00000271970	RP3-337H4.10	43529609	43530156	548	0.45	1.366	0.183789407	0.410877114
chr1	ENSG00000271949	RP11-302M6.4	90098699	90398809	654	-0.018	0.987	0.949124321	0.978857968
chr3	ENSG00000271941	RP11-188P20.3	43388415	43389135	721	-0.424	0.745	0.210341533	0.445755579
chr2	ENSG00000271936	RP11-443B20.1	25048479	25049586	1108	0.433	1.35	0.159382067	0.375731312
chr10	ENSG00000271933	RP11-338I21.1	85898176	85900338	2163	-0.028	0.981	0.915902142	0.964581558
chr5	ENSG00000271918	CTD-2287O16.5	115419504	115421113	1610	-0.125	0.917	0.687096428	0.851689212
chr8	ENSG00000271912	RP11-661A12.14	144683416	144685394	1979	0.21	1.157	0.552370274	0.762798324
chr2	ENSG00000271894	RP11-482H16.1	56374765	56613306	2289	-2.173	0.222	3.08E-05	0.000457203
chr11	ENSG00000271885	SRSF8	94800361	94802388	2028	-0.177	0.884	0.321462545	0.56820455
chr9	ENSG00000271875	RP11-430N14.4	136125788	136130950	5163	0.462	1.378	0.085328829	0.252853415
chr3	ENSG00000271870	RP11-97C16.1	3194626	3195119	494	-0.428	0.743	0.18353078	0.410553997
chr3	ENSG00000271858	XXcos-LUCA11.4	50402765	50405628	1202	0.571	1.486	0.149647983	0.361210961
chr3	ENSG00000271856	RP11-861A13.4	107844668	107857457	2592	-0.873	0.546	0.046126299	0.167962836
chr1	ENSG00000271853	RP1-178F15.5	153598808	153606816	995	0.284	1.217	0.140841306	0.348414241
chr10	ENSG00000271816	RP11-574K11.28	75458909	75490245	1913	0.733	1.662	0.018773536	0.089690245
chr1	ENSG00000271810	RP11-426L16.10	113245236	113254055	1078	-0.297	0.814	0.09512623	0.270840741
chr1	ENSG00000271806	RP5-892K4.1	2072523	2076718	4196	0.478	1.393	0.165964922	0.385843245
chr5	ENSG00000271795	CTC-251D13.1	150889014	150892330	3317	0.985	1.98	0.053899007	0.18656232
chr6	ENSG00000271793	RP11-321N4.5	86267696	86324952	835	0.17	1.125	0.352662126	0.599498959
chr2	ENSG00000271787	RP11-254F7.3	10194548	10194993	446	-0.318	0.802	0.297775074	0.544592726
chr14	ENSG00000271780	RP11-1017G21.5	102414684	102415762	1079	-0.007	0.995	0.984680665	0.995051271
chr20	ENSG00000271774	RP4-678D15.1	51872518	52103813	724	-1.534	0.345	0.005244782	0.035131838
chr6	ENSG00000271754	RP3-337H4.9	43486918	43487462	545	0.451	1.367	0.140712779	0.348396555
chr1	ENSG00000271741	RP11-244H3.4	35447134	35497342	3099	-0.465	0.725	0.012194018	0.066288363
chr10	ENSG00000271738	RP11-137H2.6	82194765	82196869	2105	0.397	1.317	0.191111906	0.420404134
chr6	ENSG00000271730	RP11-787I22.3	109319685	109320328	644	-0.525	0.695	0.145760702	0.355452229
chr1	ENSG00000271723	MROH7-TTC4	55107459	55207981	7090	0.158	1.115	0.418366304	0.657458864
chr1	ENSG00000271721	RP11-337C18.9	146647181	146649319	2139	-0.072	0.951	0.818910447	0.920864798
chr8	ENSG00000271698	GS1-393G12.13	145576888	145579269	1596	0.398	1.318	0.197336828	0.429538131
chr4	ENSG00000271646	RP11-326I11.3	185395956	185398458	2503	-0.195	0.874	0.514390438	0.734925177
